,text,user
0,"""uwielbiam"" takie stylizacje ! i gdzie się w tym wybrać ? na mróz ???? ",Anonymous
1,"no ja tak chodzę :D w sensie na to kurtka i nie rozkładam tak tego swetra mocno na boki jak zdejmuje w pomieszczeniu puchowkę. haha,  co poradzić - kupię coś sobie i chce założyć JUŻ ",Laura
2,"Twoje wlosy !!!!!!! 🖤🖤🖤🖤🖤🖤🖤ja mam moze 1/100 Twojej  objetosci ... ale milo popatrzec ,ze masz takie naturalnie piekne geste i zdrowe wlosy !",Anonymous
3,dziękuje! :),Laura
4,"Lauraaa meee, co za cyc wypięty na chama. Kocham Cie ale to jakiś styl na Rozenek...",Anonymous
5,co cycki ma sobie amputować bo od razu takie porównania?,Anonymous
6,"Powiedz mi Laura, teraz mocno schudłaś, nosisz i będziesz nosić te same ciuchy, czy wymieniasz garderobę na mniejszą? Dylematy",Anonymous
7,"nie schudłam 4 rozmiarów, żeby to było odczuwalne we wszystkich częściach garderoby, zauwazalną różnice widzę w zasadzie tylko przy spodniach :) w reszcie ciuchów czuje, ze jest odrobine luźniej, ale nieznacznie.  większość moich ciuchów i tak jest oversize. spodnie i tak będę nosić, po prostu niektóre będą luźniejsze niż były i dokupię takie, które chciałabym mieć dopasowane",Laura
8,Cycki i yeezy trochę kardashianskie ale podoba mi się. Piękne kolory!,Anonymous
9,Ten top podnosi tak biust czy masz jakiś stanik ? ,Anonymous
10,I thought you were travelling today to London.,Anonymous
11,"Ja już się szykuję na sezon wiosenno-letni :) Trochę późno się obudziłam, ale chciałam kupić fajny koszyk. Gdybyś miała wybrać jeden:1. koszyk wiklinowy Anders 2. pleciony koszyk Palmito od Ani Kuczyńskiej3. Ladybag Wicker Basket no. 3 Roboty Ręczne? Wszystkie mi się podobają, ale chciałam wybrać jeden i nie mogę się zdecydować :(",Anonymous
12,"Czy ten sweter bardzo gryzie? Szukam coś takiego oversizowego i dobrego gatunkowo, co można nosić na gołe ramiona bez przykrości:)",EPHEMERIC BEAUTY
13,"Boże, Twój styl to taka perfekcja! Kompozycja kolorów po prostu idealna, po dwóch stronach włosy i buty w takiej samej kolorystyce, Seledyn i ciemna zieleń w chłodnej tonacji i ta sprana czerń.. balsam dla oczu :)",Anonymous
14,Rewelacja <3,Ewa Macherowska
15,"Lauro, to jak Ty ostatnio wyglądasz to jest jakiś obłęd!!! Zawsze byłaś piękna, ale ostatnio...przechodzisz samą siebie! Sama nie wiem czy to nowe włosy, czy jeszcze coś innego- ale kierunek w którym poszłaś- wielkie WOW. Proszę zdradź nam sekret- co motywuje Cię do dbania o siebie, jakieś tajniki, aby wyglądać pięknie?",Anonymous
16,baaardzo dziękuję! :* większość rzeczy opisuję w zakladce beauty :),Laura
17,PROSZE POWIEDZ ZE MASZ TUBMLR?,Anonymous
18,nie mam,Laura
19,to jest Poznan? ,Anonymous
20,co porabiałaś w poznaniu? ;3,Anonymous
21,dobry look!,Shopaholic
22,"OH Laurka, zapatrzyłam się! ",Tizzi
23,pięknie! *__*Jaki nosisz rozmiar sukienek z Zary?,Anonymous
24,zazwyczaj S,Laura
25,"borska, mrrr",Olimpia
26,"no wlaszka, co Ty tutaj robisz L? ",Anonymous
27,"Widziałam Cię w tym stroju na rynku! <3 Co robisz w Poznaniu, jeśli można zapytac?",Anonymous
28,koleżanka miała egzaminy na UAM i wybralam się z nią na 2 dni :) już jestem w Katowicach,Laura
29,na co egzaminy?,Anonymous
30,a ten Mateusz Dolski to Twoj nowy chlopak? :) ,Anonymous
31,"nie, to znajomy, którego poznałam wczoraj",Laura
32,A CO NA TO TWOJ CHLOPAK?,Anonymous
33,"NA PEWNO ZROBIL JEJ AWANTURE, ZE POZNALA KOLEGE!!!!!!!!!!!!!!!!!!!!!!!!11111",Anonymous
34,"Widziałam Cię idącą w stronę Starego Rynku, myślałam że wypluję spaghetti które wtedy jadłam haha :D Jesteś jeszcze piękniejsza niż na zdjęciach! ",Anonymous
35,"haha, dziękuję! :) ",Laura
36,a jakie kluby odwiedzilas w Pzn? :) ,Anonymous
