,0
co:s,250
to:s,100
www,64
jaka,56
HTML,44
jak:s,41
Laura,38
HTTP,32
do:s,30
ił:s2,28
twój:s,22
brew,20
twoje,20
but,20
zdjęcie,18
taka,18
mama,18
styl,18
botek,18
twoja,17
coś:s,16
stanik,15
mi,15
kolor,15
ił:s1,14
czarny:s,13
rozmiar,12
stylo,12
dobry:s2,12
pytanie,12
blog,12
dobry:s1,11
biust,11
sweter,11
buta,11
podoba,11
czarna,11
te,11
torebka,10
rzecz,10
oda,10
kurtka,10
spodnie,9
cena,9
jeden:s,9
biały:s,9
soba,9
sukienka,8
moje,8
torba,8
model:s1,8
swoje,8
płaszcz,8
kupia,7
shop,7
nic,7
post:s2,7
model:s2,7
moja,7
koszula,7
zdjęcia,6
prosty:s,6
były:s,6
piękne,6
zamsz,6
angora,6
Jaki,6
cześć:s,6
kobieta,6
kochana,6
Le:s1,6
znajda:s1,6
sklep,6
dzień:s1,5
lato,5
manga,5
ciekawość,5
współczesność,5
solarium,5
jedno:s,5
mango,5
większość,5
szalik,5
nowy:s,5
stylizacja,5
wszystko:s,5
mój:s,5
praca,5
allegro,4
osoba,4
maja,4
święta,4
obcas,4
odzież,4
sandał:s2,4
biel:s2,4
święto:s,4
posta,4
kto,4
raz:s2,4
pierwszy:s,4
uroda,4
odpowiedź,4
mara,4
minus:s,4
modelka,4
czerwień,4
ubranie,4
pierwsze,4
forma,4
czapka,4
IS,4
dzień:s2,4
sandał:s1,4
jakość,4
strona,4
oprawka,4
pasek,4
puder,4
twarz,4
kozak:s3,4
link,4
de:s,4
twoi,4
martens,4
znajda:s3,3
góra,3
rozświetlacz,3
propozycja,3
bazarek,3
znajda:s2,3
materiał,3
mix,3
Undy,3
szpilka,3
podeszwa,3
zakładka,3
Sam,3
Natalia:s2,3
wrażenie,3
Le:s2,3
druga,3
śnieg,3
paska,3
go,3
typ:s1,3
dobre,3
nowa,3
rok:s1,3
nos,3
ocena,3
ramiączko,3
Natalia:s1,3
noga,3
zima,3
para,3
pomysł,3
opalenizna,3
post:s1,3
czas:s,3
skóra,3
kwestia,3
jedwab,3
cardigan,3
wielki:s,3
cokolwiek:s,3
nadzieja,3
biustonosz,3
warta,3
włos,2
mistrz,2
Naturalna,2
sztuka,2
Siebuła:s2,2
kozak:s1,2
mail,2
image,2
stare,2
Gray:s2,2
czerwona,2
Mirek:s2,2
prosio:s,2
chłopak,2
książka,2
powiększenie,2
zestawienie,2
wiece,2
wyprzedaż,2
szkoda:s,2
SA,2
golf:s1,2
no:s,2
dzisiaj:s,2
iphone,2
bielizna,2
raz:s1,2
paznokieć,2
skład,2
Kieda:s2,2
pas:s1,2
błoto,2
kosz:s2,2
kreska,2
sztyft,2
top,2
ktoś:s2,2
kolekcja,2
atmosfera,2
drugie,2
narciarka,2
ostatnie,2
Luba:s3,2
kosz:s1,2
pamięć,2
sandałek,2
pierwsza,2
odzieża,2
jeans,2
zimno:s,2
wstępne,2
prosta,2
moi,2
podkład,2
palec,2
usta,2
kropka,2
parta,2
dzienie,2
człowiek,2
marka,2
marek:s2,2
zdanie,2
głup:s1,2
Zlot:s1,2
neta,2
fita,2
lump:s1,2
mary:s2,2
Mirek:s1,2
linka,2
pas:s2,2
kamizelka,2
wyjście,2
miejsce,2
dziecko,2
trzewik,2
pozdrowienie,2
czoło:s1,2
krem,2
dzięka,2
sylwetka,2
operacja,2
juz,2
weganizm,2
Maro:s1,2
jedyna,2
Luba:s1,2
lump:s2,2
Rilke:s1,2
golf:s3,2
portfel,2
butelka,2
rajstopy,2
nosza,2
bajka,2
porter,2
lori,2
Finke:s1,2
traf:s,2
kierunek,2
Henne:s1,2
firma,2
iks:s1,2
lorka,2
Wrocław,2
pomoc,2
kolano,2
net,2
lepsza,2
słowo,2
koszulka,2
osadzona,2
miesiąc,2
bluzka,2
trencz,2
Anderson:s2,2
mary:s1,2
laurka,2
wiec,2
poprawa,2
petit,2
fotoszopa,2
utrzymanie,2
mróz,2
rock:s1,2
golf:s2,2
Lorek:s2,2
nica,2
krzywda,2
lakierek,2
wzgląd,2
łydka,2
pracownica,2
marynarka,2
drugi:s,2
Ala,2
biga,2
granica,2
Śliczny:s1,2
czoło:s2,2
Amsterdam,2
skórka,2
historia,2
narkoza,2
par:s1,2
kuleczka,2
dzienia,2
studio,2
produkt,2
sum,2
linek,2
głup:s2,2
listopad,1
dobór,1
reszta,1
worek,1
moneta,1
wyjazd,1
golfy,1
familia,1
Max,1
leczo,1
Rilke:s2,1
estetyka,1
PR:s1,1
konwers:s2,1
materia,1
rękaw,1
par:s2,1
minitorba,1
Szkoda:s2,1
droga,1
biodro,1
ciało,1
Finke:s2,1
weganin,1
stopa,1
Run:s1,1
wpływ,1
dzięki:s,1
Maja:s1,1
ręka,1
pytanko,1
Art:s1,1
kwas,1
pójście,1
oko:s1,1
marzenie,1
kuzynka,1
filmoznawstwo,1
Dzień:s2,1
